Row ID-1,Order ID-1,Order Date-1,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Region,Product ID-1,Category,Sub-Category-1,Product Name-1,Sales,Quantity,Discount,Profit,State,Row ID,Order Date,Order ID,Product ID,Sub-Category,Manufacturer,Product Name,Return Reason,Notes
463,CA-2017-109869,22-04-2017 00:00:00,29-04-2017 00:00:00,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,85023,West,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068,Arizona,463,22-04-2016,CA-2017-109869,FUR-FU-10000023,Furnishings,Eldon,Eldon Wave Desk Accessories,No Longer Needed,Customer bought comperable item at local store - R Chen
463,CA-2017-109869,22-04-2017 00:00:00,29-04-2017 00:00:00,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,85023,West,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068,Arizona,463,22-04-2016,CA-2017-109869,FUR-FU-10000023,Furnishings,Eldon,Eldon Wave Desk Accessories,No Longer Needed,Customer bought comperable item at local store - R Chen
463,CA-2017-109869,22-04-2017 00:00:00,29-04-2017 00:00:00,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,85023,West,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068,Arizona,463,22-04-2016,CA-2017-109869,FUR-FU-10000023,Furnishings,Eldon,Eldon Wave Desk Accessories,No Longer Needed,Customer bought comperable item at local store - R Chen
463,CA-2017-109869,22-04-2017 00:00:00,29-04-2017 00:00:00,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,85023,West,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068,Arizona,463,22-04-2016,CA-2017-109869,FUR-FU-10000023,Furnishings,Eldon,Eldon Wave Desk Accessories,No Longer Needed,Customer bought comperable item at local store - R Chen
463,CA-2017-109869,22-04-2017 00:00:00,29-04-2017 00:00:00,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,85023,West,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,0.2,7.068,Arizona,463,22-04-2016,CA-2017-109869,FUR-FU-10000023,Furnishings,Eldon,Eldon Wave Desk Accessories,No Longer Needed,Customer bought comperable item at local store - R Chen
5434,CA-2018-129707,25-04-2018 00:00:00,29-04-2018 00:00:00,Standard Class,LH-16750,Larry Hughes,Consumer,United States,Chandler,85224,West,OFF-AR-10000246,Office Supplies,Art,Newell 318,8.896,4,0.2,0.6672,Arizona,5434,25-04-2017,CA-2018-129707,OFF-AR-10000246,Art,Newell,Newell 318,Incorrect Product Ordered,Customer meant to order something else - E Williams
6971,CA-2018-153822,19-09-2018 00:00:00,25-09-2018 00:00:00,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,85023,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248,Arizona,6971,19-09-2017,CA-2018-153822,OFF-ST-10000321,Storage,Akro,Akro Stacking Bins,No Longer Needed,customer bought other solution elsewhere - R Chen
6971,CA-2018-153822,19-09-2018 00:00:00,25-09-2018 00:00:00,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,85023,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248,Arizona,6971,19-09-2017,CA-2018-153822,OFF-ST-10000321,Storage,Akro,Akro Stacking Bins,No Longer Needed,customer bought other solution elsewhere - R Chen
6971,CA-2018-153822,19-09-2018 00:00:00,25-09-2018 00:00:00,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,85023,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248,Arizona,6971,19-09-2017,CA-2018-153822,OFF-ST-10000321,Storage,Akro,Akro Stacking Bins,No Longer Needed,customer bought other solution elsewhere - R Chen
6971,CA-2018-153822,19-09-2018 00:00:00,25-09-2018 00:00:00,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,85023,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248,Arizona,6971,19-09-2017,CA-2018-153822,OFF-ST-10000321,Storage,Akro,Akro Stacking Bins,No Longer Needed,customer bought other solution elsewhere - R Chen
