Sales,Quantity,Profit,Discount,Region,State,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name
957.5775,5,-383.031,0.45,South,Florida,4,US-2016-108966,10/11/2016 0:00,10/18/2016 0:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,33311,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
22.368,2,2.5164,0.2,South,Florida,5,US-2016-108966,10/11/2016 0:00,10/18/2016 0:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,33311,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
831.936,8,-114.3912,0.2,South,Tennessee,73,US-2016-134026,4/26/2016 0:00,5/2/2016 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,38109,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
97.04,2,1.213,0.2,South,Tennessee,74,US-2016-134026,4/26/2016 0:00,5/2/2016 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,38109,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
72.784,1,-18.196,0.2,South,Tennessee,75,US-2016-134026,4/26/2016 0:00,5/2/2016 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,38109,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
200.984,7,62.8075,0.2,South,North Carolina,84,CA-2016-149734,9/3/2016 0:00,9/8/2016 0:00,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,27707,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
157.794,1,-115.7156,17,South,Tennessee,119,US-2016-136476,4/5/2016 0:00,4/10/2016 0:00,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,37620,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
161.568,2,-28.2744,0.2,South,Tennessee,229,US-2016-145436,2/28/2016 0:00,3/4/2016 0:00,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,38401,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
389.696,8,43.8408,0.2,South,Tennessee,230,US-2016-145436,2/28/2016 0:00,3/4/2016 0:00,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,38401,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
375.4575,3,-157.0095,0.45,South,Florida,385,US-2016-168935,11/27/2016 0:00,12/2/2016 0:00,Standard Class,DO-13435,Denny Ordway,Consumer,United States,Pembroke Pines,33024,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"
